date,open,high,low,close,volume
2023-08-08,200.58,200.93,198.55,198.56,10103831
2023-08-09,197.86,203.46,197.76,201.75,16795668
2023-08-10,201.65,202.69,201.41,202.55,10809005
2023-08-11,200.03,209.63,198.88,207.45,19381466
2023-08-14,207.17,207.39,205.54,207.06,17318576
2023-08-15,206.52,207.19,206.50,206.63,17906444
2023-08-16,206.02,206.86,205.07,205.13,13352367
2023-08-17,204.71,204.97,203.97,204.40,11681139
2023-08-18,204.16,204.21,201.97,202.90,15259294
2023-08-21,203.50,204.21,200.86,201.14,26751402
2023-08-22,200.53,202.82,187.07,191.80,33540710
2023-08-23,193.02,194.73,189.22,189.52,26857816
2023-08-24,190.88,191.63,190.38,191.61,16446664
2023-08-25,192.05,195.49,190.78,194.49,38984291
2023-08-28,194.21,194.30,193.46,194.05,11729184
2023-08-29,193.51,194.40,192.00,192.87,19602798
2023-08-30,193.08,193.46,192.35,192.72,8157972
2023-08-31,191.87,206.40,191.36,200.35,27131929
2023-09-01,197.88,199.22,189.35,190.96,24081302
2023-09-04,190.10,192.95,184.92,186.68,24527249
2023-09-05,187.42,187.86,184.18,184.48,19731377
2023-09-06,184.58,185.31,183.88,184.05,15152712
2023-09-07,183.60,185.16,183.45,185.05,9442203
2023-09-08,185.46,186.63,185.19,185.86,11810877
2023-09-11,186.99,188.74,183.73,184.30,11812365
2023-09-12,183.90,186.87,182.87,186.12,21182000
2023-09-13,185.61,186.59,185.35,185.69,38935270
2023-09-14,185.93,189.64,185.14,188.27,19988312
2023-09-15,186.47,188.62,183.58,183.92,14402686
2023-09-18,186.17,188.88,186.13,187.84,20543302
2023-09-19,186.63,189.30,185.86,188.66,21637823
2023-09-20,185.14,195.00,183.94,192.84,15517705
2023-09-21,193.17,193.90,193.08,193.82,7585664
2023-09-22,194.46,199.19,194.17,197.67,16840371
2023-09-25,199.18,203.53,195.40,202.52,9617353
2023-09-26,204.24,207.19,203.67,206.94,16824968
2023-09-27,207.40,208.43,207.16,207.45,14784252
2023-09-28,208.66,209.52,208.52,208.61,16003944
2023-09-29,208.37,208.90,207.38,207.89,20232091
2023-10-02,207.69,209.20,202.66,204.76,32434524
2023-10-03,203.73,207.72,203.29,206.23,10970755
2023-10-04,206.97,208.54,205.35,207.90,29576393
2023-10-05,207.25,207.42,206.56,207.17,18655211
2023-10-06,207.72,211.30,207.29,210.23,15023975
2023-10-09,210.11,211.79,209.90,210.99,18420108
2023-10-10,211.34,212.34,205.32,207.52,19474552
2023-10-11,207.54,216.16,204.44,212.57,33960749
2023-10-12,210.36,216.93,206.86,214.87,38128584
2023-10-13,214.23,214.79,212.86,213.78,32713148
2023-10-16,214.10,215.16,212.31,212.64,19702088
2023-10-17,212.57,215.40,209.95,215.12,11390816
2023-10-18,214.27,218.98,213.44,217.28,18662380
2023-10-19,217.59,217.78,217.15,217.55,14403192
2023-10-20,217.21,218.70,216.82,218.26,9384189
2023-10-23,216.70,220.82,215.24,215.37,25660700
2023-10-24,214.97,216.65,214.75,216.28,22886890
2023-10-25,215.59,217.19,214.14,214.43,11331970
2023-10-26,213.81,214.89,213.27,214.33,11652030
2023-10-27,214.88,215.06,213.90,213.97,15495845
2023-10-30,215.42,218.40,214.35,217.94,23389332
2023-10-31,220.46,228.57,218.35,222.74,14693480
2023-11-01,222.84,225.19,222.45,223.71,19787061
2023-11-02,222.39,226.06,216.45,219.41,15879946
2023-11-03,219.08,220.01,218.56,219.61,33579444
2023-11-06,221.45,226.17,221.38,223.62,19778356
2023-11-07,222.95,223.79,222.03,222.50,32352630
2023-11-08,222.26,226.18,221.18,224.75,30694989
2023-11-09,225.12,226.45,225.07,226.18,8212704
2023-11-10,225.59,229.22,225.21,227.89,16922157
2023-11-13,231.55,241.87,229.26,239.31,13474209
2023-11-14,239.79,239.84,239.07,239.08,12691422
2023-11-15,236.89,250.57,232.81,249.11,18256218
2023-11-16,249.60,249.83,249.07,249.12,23523119
2023-11-17,248.19,248.75,244.93,245.20,15627428
2023-11-20,247.25,250.59,246.90,249.94,12139079
2023-11-21,249.98,250.32,247.64,248.03,13582129
2023-11-22,249.05,252.35,246.75,251.92,25974023
2023-11-23,251.38,254.25,239.24,243.71,12847848
2023-11-24,243.37,245.54,243.08,244.46,18695892
2023-11-27,243.50,245.44,242.95,244.66,19999445
2023-11-28,245.72,247.24,243.96,245.82,19172085
2023-11-29,244.87,247.73,244.09,246.92,16405755
2023-11-30,246.60,249.90,245.47,248.53,24880482
2023-12-01,249.68,251.37,249.45,250.43,15081975
2023-12-04,250.79,251.95,250.24,251.77,15781597
2023-12-05,251.98,252.19,251.31,251.42,12669136
2023-12-06,251.76,253.72,247.68,249.07,9496157
2023-12-07,248.92,251.44,248.61,250.09,11541449
2023-12-08,251.07,252.97,244.25,245.09,19641658
2023-12-11,245.39,246.48,244.78,245.83,10728246
2023-12-12,246.88,252.95,246.72,249.53,23639567
2023-12-13,249.35,252.60,248.82,250.54,13951094
2023-12-14,250.74,252.39,249.05,251.29,23461514
2023-12-15,253.83,261.87,252.65,256.66,69259211
2023-12-18,260.72,265.92,259.66,261.93,12258565
2023-12-19,261.44,265.58,261.41,264.31,56014965
2023-12-20,263.93,264.75,263.89,264.14,7229681
2023-12-21,262.31,267.45,261.99,267.28,35457006
2023-12-22,265.81,272.19,262.73,270.40,12043267
2023-12-25,272.22,272.61,268.02,268.10,27737377
2023-12-26,268.82,269.47,263.98,265.35,19721632
2023-12-27,265.74,278.58,263.51,272.78,28754974
2023-12-28,272.30,273.35,270.15,270.18,36050288
2023-12-29,271.38,271.39,268.38,268.76,16898074
2024-01-01,265.29,282.29,262.09,276.90,36717399
2024-01-02,275.94,289.31,271.34,286.34,38261187
2024-01-03,286.49,287.93,283.78,284.11,29621715
2024-01-04,282.54,300.18,276.84,293.30,20813553
2024-01-05,293.36,294.12,292.17,293.94,13146516
2024-01-08,290.52,294.90,285.57,285.68,19335178
2024-01-09,283.58,292.59,283.21,290.92,19465423
2024-01-10,290.14,290.90,289.68,290.61,27864769
2024-01-11,290.67,292.31,290.30,290.89,24666637
2024-01-12,289.36,289.66,283.23,284.55,21442277
2024-01-15,286.13,289.34,284.54,288.84,11483374
2024-01-16,288.58,289.12,283.32,286.13,12699464
2024-01-17,283.72,284.54,283.68,284.22,18737180
2024-01-18,291.00,303.62,267.34,273.71,30884626
2024-01-19,271.17,275.05,268.84,269.64,47396954
2024-01-22,265.66,293.94,258.42,281.21,24490267
2024-01-23,279.89,284.21,278.32,283.87,18417143
2024-01-24,285.80,300.86,284.06,292.74,23327446
2024-01-25,295.44,300.50,280.21,286.97,14575897
2024-01-26,286.73,286.77,280.60,282.81,23827127
2024-01-29,283.44,284.27,278.30,279.07,21359042
2024-01-30,278.63,280.40,278.20,279.77,23110852
2024-01-31,276.60,277.02,265.46,271.03,14845769
2024-02-01,270.83,271.67,269.96,271.58,15827953
2024-02-02,270.21,274.19,269.88,272.80,28765518
2024-02-05,272.11,275.07,271.99,273.74,6947498
2024-02-06,274.48,275.40,274.14,274.44,8151220
2024-02-07,273.95,276.23,266.47,267.92,11660478
2024-02-08,266.85,268.26,263.62,265.42,6341451
2024-02-09,259.42,276.49,257.00,276.38,27342250
2024-02-12,283.71,292.17,266.38,266.53,9016195
2024-02-13,266.69,269.17,263.06,264.46,12439531
2024-02-14,264.84,265.13,264.75,264.85,31792074
2024-02-15,266.08,280.97,247.24,251.95,15411880
2024-02-16,255.97,260.82,243.50,244.01,14580655
2024-02-19,242.72,249.99,238.73,247.16,54274830
2024-02-20,247.95,248.58,246.12,246.69,22979069
2024-02-21,246.72,247.82,246.40,247.58,38677180
2024-02-22,247.09,247.63,247.01,247.33,32149347
