date,open,high,low,close,volume
2023-08-08,516.86,529.63,515.32,527.71,4746950
2023-08-09,529.04,544.54,527.37,536.16,3712239
2023-08-10,533.18,538.96,531.82,538.92,9005129
2023-08-11,530.08,552.15,529.64,550.83,24383162
2023-08-14,548.05,551.32,546.66,549.22,9299978
2023-08-15,548.77,554.20,530.83,536.53,7052558
2023-08-16,538.05,539.44,536.82,538.87,10635021
2023-08-17,539.90,544.83,537.24,544.46,7182457
2023-08-18,535.20,567.02,528.30,563.09,12495752
2023-08-21,562.20,563.54,561.65,563.02,9663319
2023-08-22,556.45,576.93,552.17,574.30,6748284
2023-08-23,573.49,575.47,573.33,574.31,7440037
2023-08-24,575.50,577.09,572.52,573.71,7296927
2023-08-25,572.27,581.56,572.07,576.26,7054198
2023-08-28,577.22,577.28,574.97,575.06,12315418
2023-08-29,570.68,585.68,559.63,583.04,10439117
2023-08-30,573.69,598.29,572.07,595.17,5103508
2023-08-31,600.88,620.04,599.39,611.02,5475442
2023-09-01,610.73,617.58,609.28,617.05,31311069
2023-09-04,621.14,629.09,620.71,626.40,6605131
2023-09-05,626.41,629.27,625.81,627.34,5853643
2023-09-06,623.29,624.51,617.69,618.56,8269762
2023-09-07,622.18,624.93,598.89,603.03,5514975
2023-09-08,602.44,605.79,601.36,603.30,3609455
2023-09-11,599.63,611.29,599.54,607.83,4499376
2023-09-12,613.27,613.62,601.67,602.49,4769259
2023-09-13,604.09,604.11,597.06,598.39,11194972
2023-09-14,599.57,601.09,590.57,594.70,2779419
2023-09-15,592.59,606.83,591.51,599.54,7990624
2023-09-18,603.75,611.14,589.95,591.17,5688733
2023-09-19,591.78,591.86,585.25,588.57,6675059
2023-09-20,589.49,590.57,586.85,589.56,8389587
2023-09-21,589.55,592.40,586.12,590.09,5702838
2023-09-22,589.75,594.13,589.65,591.19,13149558
2023-09-25,598.50,599.23,577.87,579.12,4252699
2023-09-26,580.94,583.40,578.26,578.82,7215931
2023-09-27,577.77,579.13,574.73,577.41,23555592
2023-09-28,580.53,584.98,571.26,573.04,3728375
2023-09-29,573.29,584.84,569.20,578.76,2756255
2023-10-02,578.88,585.63,576.70,584.81,7422645
2023-10-03,586.13,586.82,581.59,583.34,5544549
2023-10-04,587.32,590.87,580.61,581.05,7061908
2023-10-05,581.84,582.78,572.39,575.03,5383114
2023-10-06,576.47,577.53,573.17,573.94,13242273
2023-10-09,573.56,574.66,556.91,563.08,3938455
2023-10-10,563.30,564.36,546.42,553.90,12526331
2023-10-11,548.79,571.76,542.87,563.95,3372103
2023-10-12,559.60,580.40,557.96,575.59,9094176
2023-10-13,574.76,578.72,573.24,577.76,9443994
2023-10-16,581.05,585.91,565.72,568.94,3904507
2023-10-17,568.70,569.94,566.65,568.93,5605557
2023-10-18,569.58,576.47,560.19,563.68,6053447
2023-10-19,558.96,565.80,549.75,554.52,5851562
2023-10-20,555.06,562.17,541.07,545.24,9422225
2023-10-23,548.44,565.66,547.69,564.53,6718089
2023-10-24,566.79,587.71,563.11,580.06,10900321
2023-10-25,579.91,602.03,565.75,591.34,7500949
2023-10-26,590.50,594.56,579.01,583.52,13445009
2023-10-27,582.24,582.50,571.31,571.84,9872028
2023-10-30,572.07,573.56,570.21,570.58,4565246
2023-10-31,572.35,586.03,563.97,580.16,8255006
2023-11-01,582.93,583.91,562.86,568.01,6082205
2023-11-02,561.63,562.93,554.61,560.75,6360974
2023-11-03,555.84,559.49,549.82,550.91,11345566
2023-11-06,551.67,553.04,551.66,552.47,3580439
2023-11-07,560.48,577.53,533.48,533.98,4381828
2023-11-08,530.52,544.14,526.42,541.70,4082307
2023-11-09,543.20,543.49,540.62,542.61,4283686
2023-11-10,541.04,545.28,537.75,540.85,4642542
2023-11-13,538.71,548.01,537.82,545.72,8483388
2023-11-14,550.75,567.61,541.23,561.58,8767166
2023-11-15,561.21,562.87,558.65,561.34,5915598
2023-11-16,562.08,563.56,556.13,556.44,4837194
2023-11-17,556.37,559.91,549.03,550.05,3624903
2023-11-20,547.50,548.43,534.39,535.10,14339749
2023-11-21,538.81,545.32,513.41,526.23,3650834
2023-11-22,512.90,515.11,504.92,507.47,8679641
2023-11-23,505.77,514.97,504.18,510.60,11170739
2023-11-24,510.93,511.72,502.19,503.89,4996155
2023-11-27,514.16,519.24,483.11,487.72,14579215
2023-11-28,487.52,488.81,486.67,486.74,15808579
2023-11-29,488.97,492.03,486.20,491.25,11591806
2023-11-30,491.24,493.02,490.48,491.75,6197487
2023-12-01,488.98,503.22,488.04,497.68,2938978
2023-12-04,493.55,495.07,492.88,493.10,13272504
2023-12-05,493.43,493.88,489.95,492.09,1783287
2023-12-06,497.14,498.63,487.15,488.58,5893942
2023-12-07,491.46,492.45,484.46,484.48,3999357
2023-12-08,484.02,490.55,482.23,489.53,11573149
2023-12-11,491.35,503.47,485.60,499.26,7995978
2023-12-12,501.00,514.23,497.04,513.54,11490083
2023-12-13,512.83,516.85,506.96,509.19,8216368
2023-12-14,514.39,527.49,510.09,519.10,13329449
2023-12-15,521.44,527.73,508.64,511.99,4152876
2023-12-18,511.19,533.47,509.19,528.49,8989859
2023-12-19,527.72,530.31,526.37,529.86,4462456
2023-12-20,533.23,550.39,521.31,544.25,5445372
2023-12-21,542.33,546.49,541.37,546.06,9013476
2023-12-22,546.69,555.48,543.16,552.27,10021988
2023-12-25,553.87,555.73,546.93,548.56,5407205
2023-12-26,549.27,550.05,545.18,546.24,11027532
2023-12-27,547.23,547.72,541.57,541.84,6933830
2023-12-28,546.75,549.31,531.73,534.85,5837373
2023-12-29,526.79,536.46,519.86,524.25,5458991
2024-01-01,525.73,536.58,524.82,530.16,6670975
2024-01-02,523.11,527.52,514.16,519.77,4137526
2024-01-03,513.60,519.23,503.43,509.15,10258028
2024-01-04,507.29,512.69,498.72,500.49,6759271
2024-01-05,500.40,501.73,498.77,499.64,8845880
2024-01-08,499.11,500.43,497.63,499.18,15044118
2024-01-09,496.84,497.41,491.66,493.35,8770306
2024-01-10,485.19,493.50,482.84,483.40,9769266
2024-01-11,482.80,486.72,468.38,472.23,4013304
2024-01-12,474.99,476.22,459.13,464.91,7540032
2024-01-15,467.11,467.91,451.26,456.33,3166925
2024-01-16,454.41,467.39,424.82,428.27,5006861
2024-01-17,427.78,433.43,424.91,432.11,4738522
2024-01-18,429.95,442.47,427.81,437.99,5794149
2024-01-19,439.57,445.03,439.20,443.80,10408673
2024-01-22,443.59,449.36,439.41,446.98,5768351
2024-01-23,443.91,444.60,442.42,443.47,11088864
2024-01-24,445.14,450.24,428.41,435.68,8351793
2024-01-25,434.97,442.79,420.76,423.68,13295039
2024-01-26,428.13,430.97,427.26,428.49,15961041
2024-01-29,429.23,438.92,424.14,436.75,5671616
2024-01-30,437.09,438.17,435.92,436.71,7163605
2024-01-31,442.71,450.56,432.79,450.19,8630191
2024-02-01,448.03,464.22,437.37,462.62,8565363
2024-02-02,466.15,466.24,464.33,464.78,6776421
2024-02-05,467.17,487.73,461.26,475.59,11445277
2024-02-06,473.14,474.94,466.86,469.14,6120706
2024-02-07,469.09,470.13,468.28,468.62,8825754
2024-02-08,458.30,461.81,447.64,452.14,5157449
2024-02-09,449.13,453.84,440.13,443.42,9267804
2024-02-12,446.18,450.14,438.34,439.17,4747374
2024-02-13,442.96,452.88,403.23,422.98,4183305
2024-02-14,421.71,422.75,412.38,415.94,4510359
2024-02-15,416.03,417.50,413.10,415.38,8942375
2024-02-16,414.51,434.89,414.38,423.19,5950922
2024-02-19,424.22,425.93,419.20,419.91,12201381
2024-02-20,419.00,420.48,418.83,419.38,2649095
2024-02-21,421.45,423.29,419.70,422.36,4914439
2024-02-22,421.35,422.66,421.12,422.57,8429958
2024-02-23,421.63,430.56,421.41,429.25,7009232
2024-02-26,429.88,431.93,426.72,428.07,5256412
2024-02-27,427.78,429.78,427.26,429.09,8241547
2024-02-28,429.86,431.34,425.43,426.55,7963831
2024-02-29,424.94,425.44,423.16,425.04,9643947
2024-03-01,425.39,428.09,424.21,427.20,13323710
2024-03-04,427.20,435.20,424.43,431.87,4074609
2024-03-05,431.84,432.57,431.54,432.27,4381011
2024-03-06,431.60,441.00,429.73,440.62,9932055
2024-03-07,439.87,456.84,427.51,456.35,5723114
2024-03-08,456.01,456.83,455.18,456.09,3916270
2024-03-11,454.41,454.50,451.30,454.04,4501341
2024-03-12,455.46,458.18,448.91,450.10,4467411
2024-03-13,449.76,450.70,447.18,449.27,4472069
2024-03-14,449.36,461.88,444.29,456.71,3122662
2024-03-15,454.78,477.63,453.87,474.87,8303287
2024-03-18,479.45,494.95,473.35,490.76,3773036
2024-03-19,490.64,494.48,489.66,494.23,5523596
2024-03-20,498.53,509.42,475.32,483.88,8994861
2024-03-21,485.74,486.93,478.17,478.60,11649481
2024-03-22,478.43,481.35,476.32,480.21,9599098
2024-03-25,477.17,481.07,473.46,475.23,8286698
2024-03-26,474.98,476.03,472.41,474.46,6249044
2024-03-27,473.76,475.46,473.48,473.96,8147620
2024-03-28,472.09,473.42,463.68,467.59,5069870
2024-03-29,468.53,470.46,468.11,468.86,5812264
2024-04-01,469.58,483.45,467.16,478.84,5172102
2024-04-02,481.22,481.37,474.66,476.01,5356714
2024-04-03,472.22,473.92,467.63,470.09,2990431
2024-04-04,473.67,477.96,462.09,463.60,4745161
2024-04-05,466.33,468.07,461.18,466.63,7641437
2024-04-08,465.59,467.28,464.96,465.75,6791418
2024-04-09,469.19,472.14,469.17,471.28,3401622
2024-04-10,469.76,470.71,468.21,470.42,3227199
2024-04-11,472.23,480.29,467.58,480.15,8945110
2024-04-12,476.24,481.67,452.83,467.74,2017582
2024-04-15,466.28,470.02,465.65,469.33,5678838
2024-04-16,468.22,472.47,463.25,465.88,4242738
2024-04-17,464.18,466.02,463.60,464.00,5987796
2024-04-18,464.12,465.92,456.43,459.51,4222296
2024-04-19,463.30,463.64,463.18,463.52,9692282
2024-04-22,459.38,462.72,448.43,452.85,3760450
2024-04-23,453.34,454.84,452.35,454.70,12388896
2024-04-24,453.24,461.14,452.54,458.69,13010548
2024-04-25,456.74,469.43,456.61,464.59,5820690
2024-04-26,460.73,466.50,452.97,455.37,6620053
2024-04-29,454.55,460.78,450.75,451.41,10391885
2024-04-30,450.69,453.66,434.29,441.76,7657336
2024-05-01,445.86,448.56,426.43,433.66,7114667
2024-05-02,432.85,445.22,432.11,441.49,3931033
2024-05-03,435.99,437.53,431.49,434.46,6384431
2024-05-06,430.74,445.70,426.45,445.46,4559475
2024-05-07,443.41,454.15,433.15,453.85,7365576
2024-05-08,453.87,455.41,451.71,452.04,4857811
2024-05-09,448.12,464.99,442.35,462.46,6332753
2024-05-10,461.50,464.64,460.46,463.82,6383980
2024-05-13,459.18,479.41,448.23,473.06,6113696
2024-05-14,473.07,476.51,472.76,476.09,5056661
2024-05-15,477.49,479.01,473.58,473.73,4090363
2024-05-16,473.53,474.43,470.17,470.81,3737742
2024-05-17,468.54,469.66,467.27,468.93,4758453
2024-05-20,471.72,471.90,461.37,464.95,5049822
2024-05-21,464.87,466.72,454.59,459.85,8533814
2024-05-22,459.91,466.61,439.79,450.20,6640786
2024-05-23,449.46,454.33,441.51,445.57,8459226
2024-05-24,445.93,448.18,444.23,444.52,5535149
2024-05-27,444.22,445.42,441.95,443.27,5486869
2024-05-28,444.76,446.95,438.39,441.05,4043463
2024-05-29,444.98,446.65,430.48,433.56,6434318
2024-05-30,435.04,442.56,418.61,425.57,5516968
2024-05-31,423.39,425.88,416.40,419.29,7137203
2024-06-03,423.13,423.40,415.41,416.05,13057867
2024-06-04,419.15,430.61,415.31,422.93,5462084
2024-06-05,422.99,425.96,419.35,420.28,10060167
2024-06-06,421.13,421.27,414.52,415.80,5946617
2024-06-07,416.57,422.56,416.34,418.96,5356937
2024-06-10,419.00,431.88,417.52,426.30,10459651
2024-06-11,423.22,427.20,416.85,420.45,8212445
2024-06-12,421.14,423.58,419.07,421.28,6662787
2024-06-13,419.26,421.97,414.29,416.26,7366267
2024-06-14,412.87,415.03,406.21,411.00,3903657
2024-06-17,410.83,411.86,401.87,404.29,3586258
2024-06-18,403.72,409.38,403.40,407.75,8006538
2024-06-19,407.01,410.77,406.27,410.29,11245603
2024-06-20,409.86,411.93,405.13,407.29,6853483
2024-06-21,403.58,405.01,396.68,402.70,3749979
2024-06-24,404.06,404.74,400.05,400.78,11829179
2024-06-25,399.96,402.76,399.32,402.59,2387016
2024-06-26,403.97,406.29,403.69,404.20,5459099
2024-06-27,403.72,409.01,398.50,399.47,4506165
2024-06-28,397.97,402.39,395.35,401.95,9351897
2024-07-01,403.94,409.73,402.89,405.81,8434903
2024-07-02,404.83,412.22,393.39,398.18,6031756
2024-07-03,398.05,403.52,396.19,403.42,7248069
2024-07-04,403.99,408.15,403.25,405.92,9860739
2024-07-05,400.61,405.49,396.49,398.31,5603137
2024-07-08,393.73,396.19,393.59,394.55,14267910
2024-07-09,392.41,402.35,389.31,398.64,6186846
2024-07-10,399.11,402.49,398.89,401.09,4681441
2024-07-11,400.57,405.61,400.18,404.41,4850493
2024-07-12,403.92,403.92,402.32,403.14,17546255
2024-07-15,404.10,407.33,404.06,405.23,5881230
2024-07-16,405.92,413.36,404.13,409.33,8262336
2024-07-17,408.62,411.84,405.68,411.74,4953294
2024-07-18,411.61,412.85,408.19,408.49,6032882
2024-07-19,408.14,411.85,403.00,403.36,5637395
2024-07-22,406.31,406.49,403.53,404.34,10663326
2024-07-23,403.52,408.27,399.22,407.41,6834555
2024-07-24,407.51,407.95,407.09,407.40,7288794
2024-07-25,408.66,409.79,408.15,408.77,16206542
2024-07-26,414.31,416.30,410.21,415.61,6622755
2024-07-29,413.25,413.29,398.62,402.66,3344063
2024-07-30,402.18,403.22,402.00,402.73,8505625
2024-07-31,397.02,410.76,396.61,409.60,5090545
2024-08-01,411.68,413.18,408.55,408.68,4250722
2024-08-02,408.21,414.38,407.38,412.19,21105413
2024-08-05,415.18,419.71,415.02,416.94,2263669
2024-08-06,418.29,418.78,412.20,413.86,9455743
2024-08-07,415.05,416.78,413.51,415.32,5495834
2024-08-08,414.59,418.27,407.14,408.22,9485473
2024-08-09,408.13,409.38,407.26,408.43,4618401
2024-08-12,415.33,420.45,393.32,398.15,8535783
2024-08-13,398.56,399.38,397.83,398.50,7041259
2024-08-14,397.94,400.16,385.63,391.37,4575846
2024-08-15,396.50,400.37,382.85,383.47,6714111
2024-08-16,382.54,386.52,371.47,378.79,2938732
2024-08-19,373.35,382.45,368.77,370.89,4187484
2024-08-20,369.07,374.52,368.34,374.21,8714447
2024-08-21,372.86,388.67,367.61,382.35,6568366
2024-08-22,383.31,385.73,372.54,377.60,3792056
2024-08-23,374.80,381.64,360.26,362.92,4645875
2024-08-26,363.18,364.23,362.55,363.18,9231555
2024-08-27,366.16,370.04,354.05,354.75,31711799
2024-08-28,355.73,359.02,343.00,345.66,5440816
2024-08-29,346.66,350.73,343.82,350.42,11839405
2024-08-30,350.24,351.90,347.91,348.98,4958422
2024-09-02,350.63,358.47,348.60,355.81,4600829
2024-09-03,356.24,359.68,350.81,352.26,10328179
2024-09-04,359.66,360.09,358.84,358.93,7129677
2024-09-05,352.23,367.08,347.16,366.05,5821247
2024-09-06,365.49,368.81,364.92,367.77,5223365
2024-09-09,369.77,380.63,359.39,377.80,4920183
2024-09-10,379.36,390.09,377.67,387.09,9920821
2024-09-11,384.81,389.87,372.79,373.16,5493427
2024-09-12,372.78,379.46,362.66,364.70,6236316
2024-09-13,363.94,369.61,360.39,368.54,16507645
2024-09-16,368.00,369.52,367.48,369.18,4239324
2024-09-17,375.15,379.89,370.43,379.73,3972006
2024-09-18,379.30,388.23,366.58,369.04,8885934
2024-09-19,374.40,388.26,364.59,381.06,9483274
