date,open,high,low,close,volume
2023-08-08,265.01,269.15,264.36,266.30,29008703
2023-08-09,266.94,267.62,265.04,265.15,35468817
2023-08-10,269.91,277.58,256.82,258.27,27328684
2023-08-11,258.11,264.43,252.74,262.96,39258335
2023-08-14,261.87,263.98,261.73,263.32,55799920
2023-08-15,263.79,264.63,263.24,264.43,56719279
2023-08-16,262.61,263.35,262.03,262.78,43620720
2023-08-17,264.11,265.32,263.33,264.16,28165422
2023-08-18,262.73,263.14,257.31,258.94,55569218
2023-08-21,258.96,263.43,258.19,261.24,37733183
2023-08-22,259.68,266.70,257.86,265.76,45624582
2023-08-23,266.25,268.85,265.00,268.03,33716089
2023-08-24,269.02,273.61,267.06,271.87,37285322
2023-08-25,270.86,271.77,269.84,270.86,36732521
2023-08-28,270.62,271.15,269.11,270.15,31316816
2023-08-29,273.60,274.78,271.09,274.08,16765475
2023-08-30,273.90,274.60,273.41,273.80,15193461
2023-08-31,272.09,280.98,269.74,280.42,93027200
2023-09-01,279.70,291.54,269.89,291.09,88590056
2023-09-04,287.83,306.26,287.77,301.51,66525932
2023-09-05,300.16,301.42,299.50,300.96,32907852
2023-09-06,300.83,305.31,300.06,303.77,31933651
2023-09-07,308.21,308.43,297.52,298.23,21937587
2023-09-08,298.52,298.90,295.45,297.55,15580266
2023-09-11,296.88,298.11,296.17,297.02,31231723
2023-09-12,298.64,302.90,285.53,286.43,44073199
2023-09-13,285.89,298.11,283.78,296.28,74346141
2023-09-14,293.65,299.69,292.59,299.00,43074916
2023-09-15,294.82,308.16,290.21,306.22,38592397
2023-09-18,305.19,307.46,304.76,307.17,24534705
2023-09-19,308.02,309.18,304.70,304.77,28006017
2023-09-20,304.31,307.33,297.28,298.05,36980508
2023-09-21,296.76,297.27,287.08,291.35,16034469
2023-09-22,290.20,294.66,289.32,293.71,59401144
2023-09-25,293.68,295.15,288.45,288.73,43204209
2023-09-26,287.22,287.99,280.20,283.04,45921035
2023-09-27,281.86,292.49,276.62,289.08,57334562
2023-09-28,288.83,309.11,282.54,299.37,32955427
2023-09-29,300.47,301.38,296.27,297.48,28214990
2023-10-02,300.11,310.41,299.74,304.51,77424112
2023-10-03,305.15,313.52,302.85,310.20,20555647
2023-10-04,308.51,308.58,302.88,304.59,64131970
2023-10-05,302.97,304.75,300.91,300.96,112164329
2023-10-06,301.12,308.36,299.25,304.81,49915739
2023-10-09,304.37,306.56,303.70,306.54,58548798
2023-10-10,309.56,315.01,307.52,311.63,39874691
2023-10-11,311.15,311.79,309.45,310.22,55542569
2023-10-12,310.18,312.30,306.78,307.61,54307442
2023-10-13,310.01,314.99,297.47,300.55,39656871
2023-10-16,301.43,305.61,295.89,297.52,67366660
2023-10-17,295.96,300.24,294.84,299.49,18198851
2023-10-18,301.75,303.84,292.40,294.31,34988450
2023-10-19,293.51,295.76,293.02,295.34,62031050
2023-10-20,295.28,299.57,293.77,298.31,37103216
2023-10-23,303.27,308.47,298.62,304.52,35713897
2023-10-24,305.40,309.22,305.19,307.49,26252494
2023-10-25,307.21,309.61,305.10,305.22,35322517
2023-10-26,305.69,307.06,296.12,298.19,36171191
2023-10-27,301.31,301.86,292.02,294.91,25013304
2023-10-30,294.94,295.00,294.80,294.94,22267718
2023-10-31,294.12,296.55,291.29,292.09,31567100
2023-11-01,291.05,291.11,287.38,288.40,44157952
2023-11-02,287.33,289.16,285.51,285.56,14421108
2023-11-03,287.78,289.82,280.49,281.60,14046246
2023-11-06,281.71,282.24,281.61,281.92,14491076
2023-11-07,282.21,283.66,282.16,283.30,18923739
2023-11-08,282.62,282.89,275.12,277.54,47327255
2023-11-09,276.78,278.16,275.82,276.26,20462943
2023-11-10,277.10,278.89,275.69,278.16,39493454
2023-11-13,278.85,280.10,270.72,274.11,73027412
2023-11-14,274.40,277.04,274.37,276.59,38555138
2023-11-15,278.19,283.17,275.01,281.17,60129518
2023-11-16,282.12,282.80,279.36,280.46,25059955
2023-11-17,280.04,281.53,279.43,281.21,46672287
2023-11-20,285.11,286.47,282.80,284.34,47504045
2023-11-21,285.37,286.48,284.95,286.07,22667733
2023-11-22,286.06,287.15,284.97,286.90,31950701
2023-11-23,284.69,292.50,283.43,291.87,44045800
2023-11-24,293.71,298.44,293.52,297.37,19446991
2023-11-27,299.71,299.91,292.83,294.72,28031201
2023-11-28,289.58,292.41,283.73,288.25,40105447
2023-11-29,285.33,296.24,284.78,293.03,24682015
2023-11-30,292.55,293.26,285.41,289.54,57001864
2023-12-01,289.49,291.64,289.26,290.35,24667477
2023-12-04,289.95,295.68,288.84,294.75,30325195
2023-12-05,296.89,296.89,290.37,292.18,17806681
2023-12-06,292.50,294.05,286.03,288.87,48697632
2023-12-07,290.19,290.98,288.83,290.16,47424916
2023-12-08,289.26,290.37,286.47,287.89,30124528
2023-12-11,288.49,288.79,287.44,287.87,44686480
2023-12-12,287.00,287.83,285.84,286.24,24930018
2023-12-13,288.13,298.49,283.03,294.42,38635503
2023-12-14,292.58,297.97,259.91,274.70,101683652
2023-12-15,274.78,275.04,274.05,274.42,24963800
2023-12-18,276.34,280.87,274.36,280.60,44371839
2023-12-19,277.07,278.92,270.72,271.58,45856351
2023-12-20,271.72,281.40,268.78,278.32,64880573
2023-12-21,279.94,283.25,277.74,282.13,60613361
2023-12-22,282.11,282.42,281.65,282.24,32831596
2023-12-25,280.57,282.17,279.55,280.22,43791311
2023-12-26,280.40,281.99,272.07,273.37,79921100
2023-12-27,274.17,280.20,270.85,277.53,39014999
2023-12-28,277.26,285.34,277.18,282.92,21819713
2023-12-29,283.23,283.84,281.04,282.01,52352416
2024-01-01,280.53,286.40,277.99,284.84,67157764
2024-01-02,284.46,284.97,281.85,283.73,36209540
2024-01-03,285.13,286.30,284.08,286.11,29743627
2024-01-04,291.09,296.39,286.96,292.56,36476572
2024-01-05,291.80,293.12,288.77,289.55,29680945
2024-01-08,290.89,293.10,290.40,292.21,28994916
2024-01-09,292.73,294.50,291.74,293.84,37993126
2024-01-10,292.01,294.94,289.63,291.15,34201862
2024-01-11,290.65,291.00,289.56,290.84,18006957
2024-01-12,289.55,290.04,287.49,287.60,31760345
2024-01-15,290.10,294.48,283.66,284.73,52122738
2024-01-16,284.65,285.36,282.57,283.89,58121756
2024-01-17,282.64,283.48,282.42,282.83,42481040
2024-01-18,282.86,283.28,281.64,282.14,57978264
2024-01-19,280.69,281.51,276.35,280.02,38460865
2024-01-22,281.06,292.91,278.04,288.31,35720964
2024-01-23,289.18,291.56,287.06,290.94,44079341
2024-01-24,292.04,309.64,289.20,296.72,38918385
2024-01-25,299.67,306.80,298.84,305.19,20966234
2024-01-26,306.11,312.90,304.55,308.96,23197764
2024-01-29,310.69,313.30,300.48,304.36,28086680
2024-01-30,306.95,312.12,297.45,299.62,94953619
2024-01-31,300.76,302.35,294.77,297.20,61115314
2024-02-01,305.00,306.21,286.63,291.71,37641943
2024-02-02,291.98,294.58,286.15,288.26,59047792
2024-02-05,289.46,291.62,285.75,286.09,28479390
2024-02-06,291.04,292.60,272.66,273.88,42761483
2024-02-07,271.92,274.30,267.69,269.73,64692641
2024-02-08,268.26,278.36,265.65,273.72,36760799
2024-02-09,274.29,275.93,271.41,271.95,51641177
2024-02-12,269.97,282.06,267.73,276.92,32642484
2024-02-13,278.07,280.57,277.61,279.15,29839827
2024-02-14,281.77,284.16,274.31,274.63,15005296
2024-02-15,275.10,276.20,272.06,272.96,70364523
2024-02-16,272.10,272.14,271.46,271.61,26457964
2024-02-19,267.64,275.53,261.07,261.75,56797367
2024-02-20,262.10,265.67,256.63,264.16,51873014
2024-02-21,263.40,275.61,262.65,269.56,49232244
2024-02-22,267.20,276.01,254.39,258.38,41913494
2024-02-23,259.08,262.21,256.79,260.13,39222025
2024-02-26,258.56,259.73,257.73,258.43,29324428
2024-02-27,258.55,259.21,257.76,258.11,68824060
2024-02-28,257.86,261.41,256.90,260.49,60356322
2024-02-29,260.15,261.68,260.01,261.18,42691675
2024-03-01,261.66,262.35,259.65,260.63,39720225
2024-03-04,258.36,266.42,254.60,265.30,25397428
2024-03-05,265.55,267.56,263.05,263.95,23050737
2024-03-06,263.90,266.40,260.28,260.40,29452626
2024-03-07,259.69,260.40,257.91,258.65,52380882
2024-03-08,257.60,257.67,257.51,257.53,47767289
2024-03-11,259.95,260.02,252.89,255.22,44094214
2024-03-12,255.49,261.73,253.93,259.45,121914122
2024-03-13,260.75,262.94,255.59,256.05,36392097
2024-03-14,255.88,256.27,255.16,255.98,38206412
2024-03-15,255.62,263.19,253.76,263.18,20595027
2024-03-18,265.75,270.09,265.40,269.65,22805218
2024-03-19,268.61,272.50,268.09,271.75,25854818
2024-03-20,272.16,273.31,271.88,272.50,30924443
2024-03-21,271.19,271.37,270.21,270.60,29399347
2024-03-22,268.92,279.53,267.45,277.53,37829920
2024-03-25,280.10,286.93,266.43,268.28,15641005
2024-03-26,268.57,271.90,264.73,264.98,54973763
2024-03-27,265.40,266.30,264.27,265.96,46373247
2024-03-28,264.74,269.87,262.60,269.60,15758251
2024-03-29,269.36,271.02,269.21,270.89,29466820
2024-04-01,270.33,273.25,268.45,272.28,35904894
2024-04-02,271.63,274.15,270.46,274.11,23780615
2024-04-03,273.39,278.43,271.63,275.76,29142394
2024-04-04,277.06,279.86,277.01,279.20,24168539
2024-04-05,278.94,282.30,277.85,281.55,34917007
2024-04-08,290.95,300.77,266.61,270.11,76189065
2024-04-09,272.70,274.71,272.48,274.04,59836837
2024-04-10,274.53,275.29,274.05,275.02,64723407
2024-04-11,272.04,280.71,259.96,265.91,61808434
2024-04-12,271.43,273.91,254.30,257.98,40280996
2024-04-15,257.78,261.22,247.16,252.21,20188436
2024-04-16,250.86,256.37,249.66,255.42,34213511
2024-04-17,250.76,262.18,249.74,260.63,22900919
2024-04-18,261.49,265.99,260.59,264.65,64746643
2024-04-19,265.34,265.63,264.64,265.54,34958779
2024-04-22,265.48,266.00,259.85,260.10,47754495
2024-04-23,263.06,263.60,253.95,254.56,44816423
2024-04-24,252.68,254.06,250.43,250.99,41744977
2024-04-25,250.35,256.38,250.16,255.18,31824798
2024-04-26,252.61,262.44,251.32,257.51,70495837
2024-04-29,255.59,256.93,247.58,251.63,55975471
2024-04-30,251.03,253.25,249.82,252.64,51154089
2024-05-01,253.12,255.32,247.98,249.26,34175194
2024-05-02,248.50,249.36,246.32,247.93,31115757
2024-05-03,247.52,248.65,247.46,247.80,30616689
2024-05-06,242.26,258.52,239.72,254.98,28268593
2024-05-07,254.65,257.28,254.58,256.74,23870354
2024-05-08,261.42,264.49,260.18,263.73,56979507
2024-05-09,262.22,265.20,261.97,264.64,23348337
2024-05-10,264.86,265.01,264.45,264.54,39739879
2024-05-13,264.50,264.82,262.33,262.87,28639131
2024-05-14,262.56,263.88,261.19,263.46,30722353
2024-05-15,263.22,264.51,261.92,262.19,28504581
2024-05-16,260.19,269.84,259.00,267.05,38204169
2024-05-17,266.77,267.61,266.22,267.13,60046551
2024-05-20,267.01,268.56,266.99,268.01,57148323
2024-05-21,268.20,269.55,267.77,268.99,37979170
2024-05-22,268.54,276.51,268.06,273.11,40084467
2024-05-23,270.96,276.73,269.29,275.24,32126188
2024-05-24,275.86,277.38,266.33,269.59,48107363
2024-05-27,268.30,269.65,266.47,267.31,22522251
2024-05-28,268.04,269.59,266.77,269.35,33537719
2024-05-29,269.37,275.73,265.78,273.48,19482161
2024-05-30,273.45,274.02,272.19,273.82,20857039
2024-05-31,274.42,281.05,269.18,280.53,31347394
2024-06-03,281.29,281.74,278.39,279.26,43312497
2024-06-04,279.84,285.51,278.09,283.85,96038350
2024-06-05,283.03,290.20,281.27,287.00,31377258
2024-06-06,286.64,291.66,286.17,289.47,52752796
2024-06-07,289.99,291.51,289.24,290.01,30062413
2024-06-10,291.06,291.27,287.85,288.43,43134978
2024-06-11,289.60,301.85,281.93,297.53,33258743
2024-06-12,296.76,297.41,293.70,294.79,28509003
2024-06-13,294.68,296.06,291.17,293.60,26574705
2024-06-14,293.46,295.83,290.89,295.66,43102253
2024-06-17,297.46,299.13,293.44,293.81,31749029
2024-06-18,293.12,297.16,290.95,296.66,75247184
2024-06-19,294.77,302.06,292.85,299.88,32407011
2024-06-20,298.00,305.44,296.68,305.21,84100846
2024-06-21,305.02,308.84,299.95,301.50,33410712
2024-06-24,302.07,307.08,296.38,297.28,21315138
2024-06-25,299.03,301.34,297.96,301.34,23418742
2024-06-26,300.21,304.87,299.70,302.26,58289314
2024-06-27,302.75,303.30,301.11,302.78,39738602
2024-06-28,301.98,305.93,299.95,304.88,32245623
2024-07-01,303.97,310.01,299.59,309.92,38531223
2024-07-02,309.79,309.84,309.16,309.76,32502182
2024-07-03,310.48,324.51,301.14,318.41,51950301
2024-07-04,318.60,318.74,317.67,317.89,14836758
2024-07-05,318.77,319.47,317.01,317.27,38132735
2024-07-08,317.16,319.79,312.45,315.79,38472376
2024-07-09,315.64,316.34,313.95,314.38,34852985
2024-07-10,313.13,314.11,311.12,313.33,35208785
2024-07-11,315.17,319.52,310.37,311.66,56331602
2024-07-12,311.53,320.67,306.04,317.45,64666031
2024-07-15,317.70,319.86,315.54,315.54,19668263
2024-07-16,313.73,314.96,305.48,309.47,24607982
2024-07-17,310.96,311.63,306.89,307.56,67891557
2024-07-18,307.65,309.29,307.16,307.85,80817023
2024-07-19,310.35,314.02,303.79,304.33,39920289
2024-07-22,302.34,304.46,298.57,300.41,33622696
2024-07-23,300.37,300.94,299.68,300.94,26248761
2024-07-24,300.53,301.10,298.28,298.77,24549156
2024-07-25,300.07,302.94,298.41,302.25,50387354
2024-07-26,302.37,304.67,301.84,303.58,13313187
2024-07-29,306.13,311.36,298.71,299.57,62876423
2024-07-30,298.49,298.53,297.78,298.02,47295566
2024-07-31,297.11,301.42,295.44,299.90,45297270
2024-08-01,299.69,303.05,298.62,301.45,32184706
2024-08-02,301.17,302.76,298.07,299.41,67890817
2024-08-05,301.32,307.80,289.64,294.58,114807734
2024-08-06,291.41,293.28,286.94,288.76,29131921
2024-08-07,290.11,294.35,289.99,292.30,35585694
2024-08-08,291.54,292.62,287.08,290.00,59187138
2024-08-09,292.18,294.23,286.20,287.01,47045872
2024-08-12,287.40,294.24,282.58,290.99,50807146
2024-08-13,292.66,298.88,291.98,294.72,38210720
2024-08-14,294.61,295.57,293.41,293.82,28040202
2024-08-15,292.86,293.69,287.42,289.94,38288405
2024-08-16,289.96,290.55,287.70,288.93,32246216
2024-08-19,291.74,294.87,285.24,286.38,26645824
2024-08-20,285.19,285.56,280.89,283.70,38644307
2024-08-21,284.20,284.67,283.27,283.47,68375152
2024-08-22,283.74,284.83,280.05,281.39,39581355
2024-08-23,281.69,283.48,281.05,282.51,42286578
2024-08-26,281.96,283.59,281.02,283.22,21576068
2024-08-27,282.39,287.48,278.02,286.01,36492450
2024-08-28,284.32,288.04,284.15,287.75,29921110
2024-08-29,287.73,288.64,287.07,288.10,19221994
2024-08-30,286.57,288.92,282.87,282.98,47772041
2024-09-02,283.19,284.79,281.69,283.76,37395465
2024-09-03,284.29,284.45,280.81,281.17,56399138
2024-09-04,279.84,286.80,279.10,283.38,47086231
2024-09-05,283.11,284.14,280.08,280.83,23388733
2024-09-06,281.09,281.82,277.13,278.03,26311666
2024-09-09,276.50,277.52,274.81,276.53,30643398
2024-09-10,279.00,279.65,256.48,264.99,30659490
2024-09-11,269.24,269.39,250.20,251.83,32891001
2024-09-12,247.56,259.72,245.91,258.15,40257928
2024-09-13,258.28,263.91,256.66,261.35,84676056
2024-09-16,259.53,271.40,255.90,270.88,111825206
2024-09-17,270.28,273.84,266.99,273.32,35416275
