date,open,high,low,close,volume
2023-08-08,480.68,482.25,479.39,479.90,57082602
2023-08-09,485.68,486.44,482.44,485.00,34954891
2023-08-10,484.53,487.82,483.30,487.27,37970168
2023-08-11,486.52,488.23,482.16,483.91,36787426
2023-08-14,485.53,487.12,479.54,482.55,17387891
2023-08-15,483.97,493.66,483.06,491.02,41828901
2023-08-16,493.24,505.31,488.45,501.83,40381416
2023-08-17,503.36,524.96,495.44,517.00,22871493
2023-08-18,516.37,519.46,508.41,511.34,26611207
2023-08-21,514.60,526.14,514.28,521.62,26140559
2023-08-22,516.47,518.45,512.35,513.51,32513297
2023-08-23,513.61,515.61,512.66,514.54,20351187
2023-08-24,514.49,515.68,511.83,514.20,52195676
2023-08-25,515.22,521.13,513.92,520.24,30398579
2023-08-28,512.04,551.52,486.94,548.69,31334021
2023-08-29,548.53,555.62,536.56,538.37,51756556
2023-08-30,541.54,546.23,525.88,531.03,41075044
2023-08-31,530.72,534.92,528.41,533.39,24537657
2023-09-01,532.66,549.91,532.20,543.71,26661987
2023-09-04,543.70,546.45,542.41,545.53,43209480
2023-09-05,544.70,563.50,543.33,554.00,10784985
2023-09-06,554.42,557.12,552.85,553.60,60131140
2023-09-07,556.18,559.55,545.54,548.39,33342999
2023-09-08,543.00,564.39,542.29,559.79,27497194
2023-09-11,566.17,569.60,554.85,554.89,60006353
2023-09-12,555.73,560.52,555.26,558.75,46199290
2023-09-13,551.22,562.90,536.07,542.01,27193556
2023-09-14,547.55,557.25,547.17,555.59,24161679
2023-09-15,556.57,562.19,551.85,561.93,60928216
2023-09-18,561.64,573.24,558.95,568.53,24487187
2023-09-19,568.77,578.86,548.55,556.04,47517351
2023-09-20,557.21,562.73,557.13,560.09,35907277
2023-09-21,559.30,562.11,556.86,560.99,66760370
2023-09-22,554.95,556.05,533.05,542.73,28167503
2023-09-25,540.78,560.25,520.92,523.81,48925718
2023-09-26,522.97,525.21,493.78,512.63,51438640
2023-09-27,512.77,514.05,505.74,508.54,25365488
2023-09-28,508.11,509.68,507.10,508.64,33805888
2023-09-29,508.98,509.04,507.85,508.34,51804911
2023-10-02,511.91,517.13,498.16,498.77,10863528
2023-10-03,498.91,506.15,494.59,504.40,25749185
2023-10-04,503.97,504.14,502.90,503.77,50836668
2023-10-05,502.15,508.62,501.27,508.26,29893025
2023-10-06,503.47,515.95,501.04,513.68,47254466
2023-10-09,521.73,530.09,519.76,525.09,18990245
2023-10-10,526.90,530.44,517.93,519.31,29718543
2023-10-11,521.00,522.27,516.26,518.21,36630406
2023-10-12,516.16,518.41,509.07,511.49,24610446
2023-10-13,510.92,517.83,507.87,514.95,59838637
