date,open,high,low,close,volume
2023-08-08,1151.56,1152.44,1143.93,1146.38,8834761
2023-08-09,1142.68,1154.22,1140.55,1149.95,9136476
2023-08-10,1143.67,1174.79,1132.70,1173.88,19023035
2023-08-11,1178.89,1195.63,1161.61,1190.96,8314043
2023-08-14,1189.65,1202.78,1162.29,1173.92,10248946
2023-08-15,1175.54,1185.82,1152.29,1157.87,6817523
2023-08-16,1157.82,1161.51,1152.07,1154.11,3900445
2023-08-17,1155.84,1156.79,1152.58,1152.78,13168184
2023-08-18,1152.68,1153.71,1149.90,1152.79,16609367
2023-08-21,1155.08,1160.26,1147.91,1150.83,12720746
2023-08-22,1144.30,1173.76,1135.54,1165.74,16016947
2023-08-23,1170.79,1171.15,1148.71,1149.31,27826827
2023-08-24,1149.88,1193.69,1143.37,1177.12,7209224
2023-08-25,1185.16,1211.10,1174.37,1210.52,18085655
2023-08-28,1214.22,1214.72,1211.13,1214.25,9470383
2023-08-29,1218.33,1225.51,1191.55,1200.16,10906380
2023-08-30,1199.67,1211.20,1195.97,1207.77,10278097
2023-08-31,1206.62,1207.73,1202.29,1204.99,10963630
2023-09-01,1199.44,1215.92,1192.75,1215.35,7664528
2023-09-04,1207.23,1225.79,1160.63,1188.43,31299803
2023-09-05,1195.83,1196.60,1194.27,1195.10,7185673
2023-09-06,1188.52,1196.42,1184.72,1188.78,13619762
2023-09-07,1185.11,1189.33,1163.87,1170.64,19773529
2023-09-08,1175.22,1183.11,1144.43,1155.78,16814412
2023-09-11,1159.50,1161.71,1151.39,1153.96,7354890
2023-09-12,1150.58,1150.60,1149.13,1149.19,23386541
2023-09-13,1149.50,1168.98,1148.52,1168.91,15178296
2023-09-14,1179.57,1183.27,1136.80,1147.39,8123175
2023-09-15,1149.11,1174.42,1144.87,1163.66,18573815
2023-09-18,1132.80,1150.16,1113.72,1128.85,9231782
2023-09-19,1130.84,1132.05,1115.09,1121.57,10571575
2023-09-20,1126.16,1130.71,1120.86,1127.80,25479382
2023-09-21,1134.74,1137.58,1133.48,1133.51,18590653
2023-09-22,1137.10,1145.70,1131.12,1135.54,11129487
2023-09-25,1131.56,1147.43,1116.74,1118.13,10298587
2023-09-26,1119.88,1149.85,1117.65,1130.33,16857885
2023-09-27,1137.60,1139.50,1125.51,1127.72,17906279
2023-09-28,1118.08,1167.57,1117.30,1142.62,10356150
2023-09-29,1140.75,1141.23,1134.90,1140.72,18655606
2023-10-02,1140.92,1142.73,1135.46,1138.56,6170114
2023-10-03,1150.14,1152.61,1118.18,1123.01,8083921
2023-10-04,1116.84,1145.91,1099.55,1141.59,7650098
2023-10-05,1144.98,1176.38,1115.95,1163.45,8349874
2023-10-06,1143.59,1160.67,1122.96,1134.93,17668693
2023-10-09,1131.35,1158.01,1125.57,1146.23,12316449
2023-10-10,1147.47,1160.21,1143.07,1152.72,6890023
2023-10-11,1151.80,1152.11,1142.98,1146.53,11216281
2023-10-12,1149.48,1162.97,1140.55,1162.18,16697226
2023-10-13,1165.51,1171.06,1155.87,1158.04,15682892
2023-10-16,1170.67,1188.87,1165.97,1180.11,7684044
2023-10-17,1175.89,1184.55,1149.43,1160.96,11348479
2023-10-18,1164.26,1168.12,1148.30,1150.12,9310257
2023-10-19,1146.26,1150.10,1134.71,1140.57,6486772
2023-10-20,1140.34,1152.28,1138.79,1148.03,8264845
2023-10-23,1147.34,1151.45,1131.52,1139.02,9884123
2023-10-24,1153.41,1185.47,1084.57,1104.72,9561002
2023-10-25,1099.93,1115.53,1043.83,1066.77,8418978
2023-10-26,1062.54,1064.32,1033.61,1051.06,16040182
2023-10-27,1044.64,1069.71,1042.53,1069.66,9186224
2023-10-30,1064.28,1084.18,1053.99,1079.24,20349072
2023-10-31,1063.15,1085.15,1033.08,1050.11,6062484
2023-11-01,1048.56,1067.70,1038.24,1058.54,14613333
2023-11-02,1055.30,1061.12,1053.70,1060.93,11828371
2023-11-03,1058.59,1073.54,1051.34,1065.44,7379115
2023-11-06,1066.48,1073.41,1063.88,1071.72,10538798
2023-11-07,1067.75,1109.57,1046.42,1103.39,9636421
2023-11-08,1103.46,1116.13,1100.21,1115.96,16108035
2023-11-09,1114.22,1120.27,1109.93,1118.52,14490890
2023-11-10,1141.36,1160.33,1134.57,1141.50,14131186
2023-11-13,1145.78,1148.41,1138.05,1138.88,20341299
2023-11-14,1136.46,1137.70,1117.71,1118.20,16224016
2023-11-15,1116.07,1135.34,1112.66,1132.17,21790977
2023-11-16,1132.08,1143.18,1130.90,1136.88,17829853
2023-11-17,1142.17,1147.66,1130.42,1131.72,10794808
2023-11-20,1132.16,1134.39,1121.82,1127.44,19149281
2023-11-21,1125.79,1139.48,1084.12,1101.98,9844679
2023-11-22,1102.27,1131.79,1099.09,1124.24,25027557
2023-11-23,1119.11,1186.67,1116.61,1151.39,7062848
2023-11-24,1146.73,1152.78,1107.62,1131.25,9528107
2023-11-27,1134.05,1139.05,1120.26,1122.05,13619780
2023-11-28,1123.03,1133.20,1088.80,1096.82,11098889
2023-11-29,1100.44,1102.32,1099.63,1101.79,10914158
2023-11-30,1098.61,1104.90,1090.62,1091.83,23770089
