date,open,high,low,close,volume
2023-08-08,486.05,502.50,477.25,496.43,14571631
2023-08-09,497.30,500.91,484.62,488.05,15644896
2023-08-10,489.87,491.58,483.84,484.81,14613958
2023-08-11,485.07,488.81,485.07,487.90,9241075
2023-08-14,486.59,488.01,484.10,486.18,15266944
2023-08-15,489.80,493.66,486.90,492.34,12660571
2023-08-16,493.31,503.20,492.81,501.57,32156056
2023-08-17,511.17,514.97,508.53,513.45,7950355
2023-08-18,517.94,529.67,511.09,527.53,21118644
2023-08-21,528.63,529.29,525.50,528.25,24106564
2023-08-22,527.17,542.70,526.46,537.65,40521617
2023-08-23,540.08,550.81,529.58,548.26,33981755
2023-08-24,546.33,555.75,545.93,553.92,30827641
2023-08-25,551.83,554.21,547.70,548.48,18908390
2023-08-28,548.58,551.40,542.28,545.13,46395888
2023-08-29,546.94,554.38,543.29,550.49,14513143
2023-08-30,550.71,552.62,550.16,550.57,16966285
2023-08-31,549.29,549.72,532.75,539.81,34495495
2023-09-01,538.03,540.19,535.56,537.48,17827363
2023-09-04,536.12,538.52,535.88,538.25,36163252
2023-09-05,538.43,540.25,535.79,538.65,9145833
2023-09-06,536.05,544.54,535.85,541.93,13018262
2023-09-07,534.83,553.23,533.50,551.06,18269674
2023-09-08,555.07,558.39,533.37,541.27,22307860
2023-09-11,541.54,543.74,535.46,537.51,23322273
2023-09-12,536.74,543.59,535.47,540.72,28028446
2023-09-13,538.92,543.69,538.60,541.81,28941031
2023-09-14,541.34,544.33,536.11,538.23,33408956
2023-09-15,539.48,539.60,531.46,533.72,21900187
2023-09-18,535.13,535.78,528.12,528.51,27279896
2023-09-19,528.74,530.54,528.69,529.00,19929649
2023-09-20,528.85,534.74,510.42,518.10,17749539
2023-09-21,514.89,522.78,512.13,522.37,30617886
2023-09-22,519.15,528.70,517.95,525.21,16656398
2023-09-25,518.17,545.89,509.69,545.18,12531813
2023-09-26,545.75,568.79,537.50,557.89,34813736
2023-09-27,566.55,573.35,537.65,541.71,17192442
2023-09-28,543.35,552.29,536.56,546.23,26874320
2023-09-29,543.41,543.54,537.01,537.88,28746698
2023-10-02,540.64,545.23,527.51,530.66,20974709
2023-10-03,527.60,533.14,526.32,526.66,37895923
2023-10-04,515.04,522.70,504.00,508.59,13945365
2023-10-05,505.68,523.54,502.26,521.39,14397772
2023-10-06,516.54,521.42,513.15,513.46,12395645
2023-10-09,510.85,532.00,509.67,524.93,25900883
2023-10-10,524.86,526.60,524.17,525.80,27087431
2023-10-11,531.17,532.11,515.08,518.67,27032725
2023-10-12,525.28,544.77,519.25,532.06,40541529
2023-10-13,525.03,546.43,522.29,540.42,28429491
2023-10-16,539.21,544.35,538.96,542.22,26993047
2023-10-17,538.78,540.19,528.89,534.37,35701456
2023-10-18,531.42,535.82,526.55,529.90,24491348
2023-10-19,537.93,537.98,518.82,521.59,15374497
2023-10-20,519.75,529.65,517.02,526.29,32742685
2023-10-23,525.21,527.19,524.68,525.94,24521904
2023-10-24,526.21,531.63,523.90,528.72,17750966
2023-10-25,528.76,532.30,526.39,531.93,35559210
2023-10-26,531.99,533.10,531.09,531.83,24541478
2023-10-27,528.79,543.76,523.21,540.52,39851636
2023-10-30,541.37,546.63,517.69,526.35,14891201
2023-10-31,525.59,541.21,492.59,505.66,21044879
2023-11-01,502.93,504.21,495.62,502.27,19328878
2023-11-02,502.75,504.42,498.89,499.54,15302832
2023-11-03,503.89,512.82,501.28,511.97,26579612
2023-11-06,512.61,514.54,503.88,509.27,35010706
2023-11-07,504.44,506.84,496.58,497.78,20833345
2023-11-08,494.01,508.38,493.80,504.58,39992695
2023-11-09,505.29,508.02,489.02,496.35,15568227
2023-11-10,493.33,509.26,489.18,506.04,27027325
2023-11-13,508.27,512.51,497.23,500.45,32763099
2023-11-14,505.83,505.90,495.40,497.90,27496711
2023-11-15,498.48,516.86,493.48,510.79,21641633
2023-11-16,513.47,516.46,505.13,505.62,22731137
2023-11-17,504.87,508.58,503.31,508.41,16532522
2023-11-20,507.85,513.27,499.74,503.27,24923435
2023-11-21,494.04,495.77,485.51,489.44,23836501
2023-11-22,488.53,489.03,487.37,488.46,25198928
2023-11-23,484.73,485.17,478.46,481.84,12605968
2023-11-24,482.74,485.07,480.52,481.50,43828829
2023-11-27,482.39,482.89,477.45,480.03,17825949
2023-11-28,478.73,482.70,471.05,474.17,33810999
2023-11-29,463.20,493.62,458.93,485.58,24002422
2023-11-30,487.94,504.51,485.25,495.13,21958385
2023-12-01,493.88,506.92,484.92,505.23,16949862
2023-12-04,504.66,513.16,500.50,501.51,55173329
2023-12-05,502.59,511.64,501.41,509.67,25027174
2023-12-06,503.54,517.42,491.72,493.73,22994693
2023-12-07,494.15,497.96,493.16,495.22,28256400
2023-12-08,495.14,496.11,494.41,494.96,16190659
2023-12-11,492.84,504.07,487.15,499.77,31917134
2023-12-12,499.88,501.05,497.17,498.24,29734006
2023-12-13,497.39,499.45,496.38,497.79,20829103
2023-12-14,493.21,499.54,484.23,491.08,17451180
2023-12-15,488.72,493.93,487.11,493.92,29042704
2023-12-18,492.24,516.93,489.18,505.64,21229158
2023-12-19,504.80,518.95,503.48,514.96,26145480
2023-12-20,514.70,536.42,509.02,527.63,16871058
2023-12-21,526.78,529.41,516.69,520.86,22291999
2023-12-22,525.36,530.94,519.32,528.43,19190553
2023-12-25,527.37,537.16,526.71,534.88,20799906
2023-12-26,532.39,534.10,512.64,515.26,16054651
2023-12-27,513.18,517.40,498.97,502.61,9192555
2023-12-28,502.02,519.23,493.38,513.03,31026470
2023-12-29,522.27,529.90,488.24,495.54,11899296
2024-01-01,502.38,520.50,501.74,509.82,34870004
2024-01-02,512.02,514.15,508.33,508.90,13749607
2024-01-03,507.46,510.22,506.85,510.04,46424951
2024-01-04,510.87,510.89,500.78,504.62,27086914
2024-01-05,495.53,497.50,486.20,492.95,56274493
2024-01-08,496.24,497.00,487.26,489.07,23171468
2024-01-09,489.13,489.51,482.01,484.18,51296566
2024-01-10,491.70,496.09,486.61,495.58,49886519
2024-01-11,500.04,508.21,497.85,504.64,18190011
2024-01-12,510.66,511.13,490.07,496.01,27033485
2024-01-15,495.74,497.37,494.26,496.85,13087424
2024-01-16,498.28,500.21,497.21,499.87,15361000
2024-01-17,502.79,505.42,502.64,503.78,17201940
2024-01-18,504.38,505.30,503.27,504.69,39313839
2024-01-19,510.77,515.09,486.73,492.97,31555663
2024-01-22,492.63,502.41,491.33,498.58,17353860
2024-01-23,497.77,507.03,495.46,506.39,13165246
2024-01-24,508.68,510.69,498.04,499.33,11536373
2024-01-25,498.57,517.42,494.04,510.31,23910065
2024-01-26,514.03,521.57,507.98,516.83,25353570
2024-01-29,515.89,517.96,512.80,513.88,36649554
2024-01-30,509.75,510.29,501.81,505.40,26049510
2024-01-31,505.64,507.30,479.32,489.35,32784315
2024-02-01,490.10,494.37,489.26,493.90,18416442
2024-02-02,489.88,500.25,471.39,479.14,55838648
2024-02-05,481.41,486.11,446.75,458.22,34146151
2024-02-06,462.81,464.08,433.81,446.81,15482895
2024-02-07,447.64,450.16,444.63,445.76,10830326
2024-02-08,444.90,446.66,438.94,441.37,30860257
2024-02-09,441.65,445.91,439.14,443.23,24668880
2024-02-12,445.36,453.89,431.14,435.99,17935739
2024-02-13,435.27,435.76,435.11,435.57,9439535
2024-02-14,431.91,446.79,430.10,444.55,22785739
2024-02-15,453.75,466.24,446.17,466.12,23281138
2024-02-16,464.80,465.25,464.06,464.59,11704804
2024-02-19,467.24,473.71,461.79,470.84,15241034
2024-02-20,471.66,475.30,460.30,463.58,16357109
2024-02-21,464.78,475.16,462.20,473.20,11256540
2024-02-22,475.93,480.29,473.81,476.61,32197290
2024-02-23,476.75,478.65,473.22,474.63,34649345
2024-02-26,474.85,479.91,474.26,477.88,29303673
2024-02-27,474.26,474.97,472.26,474.21,29551651
2024-02-28,472.35,472.53,465.89,468.21,10940045
2024-02-29,466.75,470.03,466.68,468.36,37233056
2024-03-01,473.53,494.06,466.44,483.72,13392053
2024-03-04,481.48,481.86,474.86,476.13,31056166
