date,open,high,low,close,volume
2023-08-08,2652.11,2661.66,2624.89,2638.61,13026051
2023-08-09,2617.06,2691.48,2616.60,2674.92,17256811
2023-08-10,2723.25,2758.40,2678.93,2734.39,46605771
2023-08-11,2729.51,2742.20,2714.96,2738.77,47899073
2023-08-14,2724.19,2726.37,2708.55,2721.57,21498861
2023-08-15,2710.82,2724.88,2683.29,2706.88,36529973
2023-08-16,2707.33,2775.78,2704.12,2766.67,13696759
2023-08-17,2766.17,2769.79,2758.79,2766.77,31752709
2023-08-18,2747.53,2829.03,2735.18,2812.35,30784732
2023-08-21,2800.71,2819.39,2763.21,2768.77,22760579
2023-08-22,2774.57,2779.01,2769.43,2771.73,16357842
2023-08-23,2823.63,2847.80,2821.60,2834.98,16871289
2023-08-24,2837.24,2930.86,2829.69,2898.74,41508747
2023-08-25,2896.26,2922.39,2865.82,2881.73,68717123
2023-08-28,2874.99,2885.23,2846.44,2852.24,8901396
2023-08-29,2836.24,2887.68,2832.76,2883.29,21172522
2023-08-30,2891.67,2894.80,2863.85,2870.65,17105911
2023-08-31,2865.31,2882.40,2827.11,2837.64,30634672
2023-09-01,2825.30,2850.73,2782.03,2810.86,37097487
2023-09-04,2816.18,2819.34,2800.26,2805.03,19143148
2023-09-05,2822.17,2870.38,2801.01,2846.23,21337983
2023-09-06,2842.03,2880.29,2835.56,2869.15,15358375
2023-09-07,2877.25,2881.31,2817.03,2830.98,24010187
2023-09-08,2845.46,2850.25,2820.81,2825.37,6939416
2023-09-11,2811.86,2814.35,2798.91,2813.77,47410435
2023-09-12,2826.24,2857.26,2786.03,2795.07,32163355
2023-09-13,2805.82,2836.79,2735.99,2745.97,42245478
2023-09-14,2761.36,2790.29,2760.37,2778.33,31336871
2023-09-15,2812.60,2827.42,2742.46,2745.40,24335322
2023-09-18,2749.22,2750.17,2743.30,2749.73,28540413
2023-09-19,2755.43,2761.08,2716.77,2717.40,36824751
2023-09-20,2725.92,2736.44,2717.68,2719.76,47051271
2023-09-21,2725.52,2745.49,2704.06,2708.14,44090118
2023-09-22,2713.26,2736.60,2640.43,2666.36,8788071
2023-09-25,2664.60,2667.52,2640.67,2642.82,21252401
2023-09-26,2637.04,2678.64,2634.97,2676.09,27894309
2023-09-27,2664.57,2767.92,2543.53,2577.00,20749107
2023-09-28,2579.53,2613.36,2536.79,2556.94,33079662
2023-09-29,2575.13,2596.90,2529.28,2540.45,18712380
2023-10-02,2533.01,2539.81,2487.09,2514.30,58808469
2023-10-03,2522.25,2569.07,2510.29,2538.22,10968880
2023-10-04,2550.06,2562.31,2547.66,2562.28,33745530
2023-10-05,2572.86,2594.85,2560.47,2593.71,13910971
2023-10-06,2604.45,2616.27,2588.09,2606.67,28201731
2023-10-09,2607.81,2618.64,2551.86,2578.25,25269669
2023-10-10,2544.75,2667.61,2502.07,2639.40,19890881
2023-10-11,2636.55,2640.62,2632.19,2636.23,23910911
2023-10-12,2627.41,2627.68,2624.19,2626.49,48509000
2023-10-13,2620.96,2629.04,2620.03,2624.82,27740769
2023-10-16,2608.42,2654.66,2591.78,2650.17,29165934
2023-10-17,2656.50,2692.08,2585.85,2585.98,18196977
2023-10-18,2582.33,2589.56,2546.72,2562.51,26198153
2023-10-19,2553.19,2608.56,2489.46,2601.56,11536080
2023-10-20,2616.50,2674.36,2614.09,2643.11,19510801
2023-10-23,2613.18,2620.22,2517.19,2586.43,14012530
2023-10-24,2585.52,2605.03,2577.45,2601.96,16966041
2023-10-25,2598.97,2610.39,2593.72,2598.18,30890652
2023-10-26,2623.39,2760.78,2557.71,2679.62,15282291
2023-10-27,2680.27,2685.87,2660.84,2673.40,26309417
2023-10-30,2682.98,2718.25,2570.90,2617.40,14625515
2023-10-31,2612.29,2707.73,2593.90,2661.26,28454716
2023-11-01,2661.48,2681.09,2648.66,2669.95,30638005
2023-11-02,2688.35,2697.62,2631.12,2655.16,39868639
2023-11-03,2649.76,2653.28,2637.66,2646.40,21133092
2023-11-06,2641.53,2668.76,2610.40,2615.89,37244039
2023-11-07,2618.57,2632.79,2603.45,2605.47,30400759
2023-11-08,2617.68,2678.45,2591.70,2654.58,47445139
2023-11-09,2640.14,2642.44,2613.73,2621.28,17893595
2023-11-10,2614.38,2636.99,2601.27,2629.74,19136343
