date,open,high,low,close,volume
2023-08-08,709.90,711.08,704.18,704.47,31794482
2023-08-09,704.68,705.13,702.89,704.28,14391112
2023-08-10,712.37,718.14,709.24,713.39,21494012
2023-08-11,713.97,718.30,685.84,699.55,36164392
2023-08-14,696.59,698.20,693.58,697.90,31568641
2023-08-15,695.44,700.49,693.13,698.98,50997184
2023-08-16,706.74,711.72,691.72,692.25,16381638
2023-08-17,693.88,698.07,691.09,697.75,36858672
2023-08-18,695.80,709.58,695.63,704.12,64703598
2023-08-21,697.69,704.96,689.61,690.45,25262036
2023-08-22,692.53,697.88,689.41,693.81,45317067
2023-08-23,692.08,695.17,688.77,689.85,15315354
2023-08-24,694.17,698.24,693.32,697.60,39656677
2023-08-25,692.75,704.26,688.46,703.06,16918024
2023-08-28,700.24,700.79,673.07,686.25,49909391
2023-08-29,684.38,684.44,681.38,682.37,9770820
2023-08-30,669.81,696.38,664.13,692.58,17191152
2023-08-31,700.55,704.84,677.14,677.25,54478217
2023-09-01,678.78,679.37,676.47,677.78,13995298
2023-09-04,675.74,676.03,672.59,675.85,44787506
2023-09-05,675.28,676.41,674.75,675.82,19170177
2023-09-06,676.28,690.24,671.68,687.22,34248143
2023-09-07,703.10,733.02,691.78,710.82,27914065
2023-09-08,703.68,707.00,702.00,704.01,69217259
2023-09-11,698.18,706.91,690.31,696.26,25108718
2023-09-12,696.92,698.37,688.34,690.32,26728834
2023-09-13,693.37,696.92,691.23,696.57,32708540
2023-09-14,693.64,704.23,693.29,701.24,19797318
2023-09-15,701.00,702.33,700.59,702.08,21697719
2023-09-18,702.07,707.05,699.80,700.94,61348759
2023-09-19,699.01,713.21,693.57,706.99,21303540
2023-09-20,710.35,711.68,708.31,709.81,71914690
2023-09-21,704.97,727.29,691.49,724.06,22090902
2023-09-22,719.19,740.71,715.30,732.72,16409689
2023-09-25,734.37,735.93,723.83,727.42,21662469
2023-09-26,730.75,733.28,722.89,723.91,13766676
2023-09-27,724.70,745.13,723.55,737.72,23389982
2023-09-28,738.41,738.53,737.01,737.36,24136441
2023-09-29,735.24,744.60,732.11,744.28,19308254
2023-10-02,738.32,764.18,735.64,758.37,29025172
2023-10-03,763.66,776.18,737.41,739.84,47574544
2023-10-04,741.03,751.50,740.78,747.63,68640957
2023-10-05,748.90,758.85,745.46,755.67,16793216
2023-10-06,756.62,784.22,754.05,774.61,36779383
2023-10-09,770.63,781.80,766.85,777.77,26251694
2023-10-10,771.82,796.46,769.58,787.48,40978963
2023-10-11,789.21,797.69,772.97,777.04,42117498
2023-10-12,777.83,783.15,762.10,766.92,24486827
2023-10-13,771.12,785.59,761.14,780.56,53319509
2023-10-16,770.07,776.75,739.79,758.28,40034873
2023-10-17,760.11,760.16,757.55,757.97,48921043
2023-10-18,762.62,770.59,754.12,764.24,27066947
2023-10-19,779.61,797.37,743.62,743.68,27176144
2023-10-20,739.08,761.80,732.11,755.68,20137163
2023-10-23,754.92,756.49,753.96,755.75,33140448
2023-10-24,755.74,762.67,755.43,760.36,21430263
2023-10-25,757.86,762.90,753.99,755.13,20127444
2023-10-26,751.80,755.05,733.51,734.29,13814962
2023-10-27,738.23,741.37,718.58,725.74,24108736
2023-10-30,729.26,733.11,698.98,707.76,18658036
2023-10-31,700.34,706.00,692.76,698.53,32362831
2023-11-01,698.95,701.93,696.81,700.29,6270180
2023-11-02,703.94,712.95,674.18,682.71,28321567
2023-11-03,683.96,687.02,683.92,686.47,34804525
2023-11-06,690.25,692.47,670.85,677.80,17861923
2023-11-07,684.27,687.56,654.12,666.88,23599654
2023-11-08,671.72,682.13,671.38,676.17,23332029
2023-11-09,673.43,673.68,670.39,670.61,37721664
2023-11-10,669.31,671.36,668.28,670.54,22652308
2023-11-13,672.84,681.22,640.33,656.91,18172326
2023-11-14,653.15,667.71,652.74,660.72,27584794
2023-11-15,660.77,661.47,656.88,658.88,29131612
2023-11-16,655.64,658.91,645.40,650.65,32510391
2023-11-17,645.15,647.08,637.79,642.57,51877411
2023-11-20,637.30,637.33,625.12,627.84,37549445
2023-11-21,627.60,631.32,621.36,623.00,13321331
2023-11-22,621.58,623.42,619.74,623.15,22118230
2023-11-23,621.20,636.84,620.07,631.07,51338212
2023-11-24,635.98,661.46,602.46,614.82,21620087
2023-11-27,610.48,612.73,607.36,608.66,27309251
2023-11-28,609.31,609.74,605.41,606.43,17483987
2023-11-29,603.43,613.04,599.30,610.02,35731207
2023-11-30,610.48,610.72,606.79,608.59,39948346
2023-12-01,616.79,622.98,597.19,598.08,45854181
2023-12-04,596.31,601.11,587.74,589.30,24929179
2023-12-05,591.62,591.63,583.71,584.61,31893580
2023-12-06,586.27,590.42,582.29,587.17,18513128
2023-12-07,585.16,585.30,583.54,583.57,23544640
2023-12-08,582.46,588.85,580.00,587.25,35767721
2023-12-11,593.91,600.21,593.76,596.23,62696096
2023-12-12,592.28,609.85,588.59,603.19,25252774
2023-12-13,601.01,605.09,600.64,604.75,30864270
2023-12-14,605.74,610.51,596.42,597.89,35359663
2023-12-15,608.02,619.80,587.72,588.96,43826360
2023-12-18,589.71,592.56,579.44,583.58,50346162
2023-12-19,576.61,579.96,562.73,571.34,28137315
2023-12-20,572.02,572.60,571.00,571.61,10961743
2023-12-21,570.78,575.30,567.81,574.22,46832668
2023-12-22,572.52,579.45,569.90,577.52,17953099
2023-12-25,583.19,587.40,570.90,572.85,30344995
2023-12-26,566.60,570.45,560.39,566.19,44295483
2023-12-27,566.72,568.39,564.24,567.91,25735908
2023-12-28,569.06,569.96,560.20,563.86,30729000
2023-12-29,565.55,579.86,560.22,574.56,17021817
2024-01-01,562.86,612.64,560.80,592.65,34733088
2024-01-02,591.80,595.64,591.35,594.01,36663721
2024-01-03,593.48,597.55,592.64,595.11,56462478
2024-01-04,597.33,603.38,597.16,601.44,32955636
2024-01-05,604.52,604.54,587.62,591.16,29204042
2024-01-08,594.32,600.00,582.34,596.57,53393990
2024-01-09,598.12,599.89,591.99,592.83,20788506
2024-01-10,593.16,595.32,592.01,595.03,33673341
2024-01-11,592.40,597.78,591.19,597.26,20671842
2024-01-12,597.12,604.37,596.69,603.45,32303026
2024-01-15,607.66,608.99,605.94,606.02,46284799
2024-01-16,605.06,609.72,603.24,608.19,58008289
2024-01-17,607.28,610.42,606.91,607.33,29889123
2024-01-18,610.85,618.05,595.98,596.52,23795862
2024-01-19,598.61,599.43,588.99,589.54,20354453
2024-01-22,580.65,602.48,578.58,598.37,24419699
2024-01-23,600.46,604.21,591.53,594.49,38849342
2024-01-24,599.34,603.97,579.67,582.57,24637573
2024-01-25,580.37,581.45,574.53,576.97,11577431
2024-01-26,578.82,589.21,569.04,585.71,34404183
2024-01-29,573.62,606.51,562.53,598.61,94265289
2024-01-30,598.26,607.65,588.98,606.28,9945070
2024-01-31,605.37,619.11,554.88,574.50,48708831
2024-02-01,575.07,576.56,571.90,571.94,44662206
2024-02-02,571.55,581.90,557.52,560.25,48418926
2024-02-05,561.59,567.64,541.85,549.00,29270475
2024-02-06,537.60,548.24,527.72,530.35,35274781
2024-02-07,526.39,528.93,525.18,528.08,13683006
2024-02-08,523.91,539.32,513.64,537.85,16438078
2024-02-09,538.26,547.94,536.13,542.28,51494384
2024-02-12,530.72,534.23,513.31,519.28,28458427
2024-02-13,513.96,520.05,506.90,509.87,17226092
2024-02-14,508.57,514.56,500.94,501.72,26530066
2024-02-15,504.62,506.35,494.09,495.83,56566176
2024-02-16,495.40,505.32,495.00,500.51,46848939
2024-02-19,497.62,498.89,491.43,495.49,14884242
2024-02-20,493.43,493.81,488.61,490.12,22447922
2024-02-21,489.18,499.35,470.11,474.44,34124775
2024-02-22,475.56,478.39,458.46,465.55,35275834
2024-02-23,470.24,473.87,447.65,455.92,29083985
2024-02-26,457.28,458.64,454.37,456.53,61512258
2024-02-27,455.18,459.55,452.16,457.47,21682444
2024-02-28,455.08,481.97,451.61,476.64,56083287
2024-02-29,475.10,476.14,469.77,472.70,22822789
2024-03-01,475.75,476.21,468.43,468.45,52378628
2024-03-04,467.21,469.93,463.25,463.76,25847306
2024-03-05,459.61,497.67,458.91,475.37,15936525
2024-03-06,476.34,483.56,475.24,480.91,47201860
2024-03-07,486.83,492.31,455.03,462.34,14080326
2024-03-08,459.69,473.83,458.36,467.44,20435893
2024-03-11,461.58,486.27,443.79,480.19,15685277
2024-03-12,479.94,480.62,479.42,480.27,26395853
2024-03-13,478.34,479.51,468.59,474.76,43104678
2024-03-14,476.32,480.64,466.72,468.34,30429789
2024-03-15,469.21,472.01,450.66,460.00,58959969
2024-03-18,455.37,458.55,443.81,451.75,25751217
2024-03-19,451.04,452.39,436.68,440.60,52054218
2024-03-20,441.43,441.79,435.18,435.87,22044370
2024-03-21,429.90,444.95,429.11,443.12,43819627
2024-03-22,438.17,442.96,432.28,435.39,16767741
2024-03-25,432.64,433.27,414.86,419.52,26354237
2024-03-26,429.49,434.56,394.03,402.10,36377699
2024-03-27,401.95,402.88,386.32,389.45,45877882
2024-03-28,386.22,387.64,367.29,375.69,24630176
2024-03-29,372.56,373.45,363.57,366.55,26210176
2024-04-01,368.66,370.06,355.10,358.40,34942447
2024-04-02,359.26,360.50,355.47,355.67,18293751
2024-04-03,354.89,364.28,329.57,335.77,22081365
2024-04-04,337.10,337.30,328.26,328.51,43765793
2024-04-05,330.47,333.24,313.55,320.05,17631259
2024-04-08,317.06,324.42,314.84,323.80,40696894
2024-04-09,319.32,339.22,311.47,334.64,52377083
2024-04-10,329.24,330.59,327.42,327.48,24521310
2024-04-11,327.47,330.89,325.44,330.33,15071478
2024-04-12,329.87,330.35,329.71,330.06,16262420
2024-04-15,331.19,333.15,323.17,324.47,23603048
2024-04-16,324.22,325.06,321.69,322.58,22223154
2024-04-17,320.67,321.17,319.56,319.60,24220074
2024-04-18,321.16,323.10,312.29,312.68,20897187
2024-04-19,315.80,324.89,299.25,301.41,33015015
2024-04-22,301.93,310.92,301.54,310.06,33422152
2024-04-23,308.20,309.79,307.57,308.25,20888017
2024-04-24,308.02,308.21,307.21,307.60,12218158
2024-04-25,311.32,313.82,310.11,313.61,26792152
2024-04-26,315.99,318.54,308.82,310.74,65789756
2024-04-29,310.31,313.81,307.66,313.78,20970843
2024-04-30,312.90,319.01,311.29,318.74,47849212
2024-05-01,318.35,319.99,316.73,317.56,51468712
2024-05-02,331.51,336.62,291.38,301.31,17806384
2024-05-03,295.25,317.29,288.24,312.63,41602824
2024-05-06,313.94,316.38,313.15,316.34,31902131
2024-05-07,315.11,315.28,314.59,314.81,26429659
2024-05-08,308.74,310.59,302.32,304.34,20184684
2024-05-09,302.04,312.35,298.78,309.73,60132112
2024-05-10,302.68,311.78,286.28,295.47,35024378
2024-05-13,296.16,297.16,291.65,292.79,47095548
2024-05-14,294.49,299.16,292.84,295.93,29700859
2024-05-15,296.27,299.52,291.65,292.13,13923481
2024-05-16,293.97,304.99,291.19,302.40,26406154
2024-05-17,304.72,306.06,304.59,305.01,17784078
2024-05-20,302.94,307.01,296.46,297.81,29945581
2024-05-21,298.71,300.83,298.13,298.76,23186255
2024-05-22,296.03,305.05,293.93,302.95,28269013
2024-05-23,303.57,305.73,297.83,298.28,41647277
2024-05-24,299.01,300.01,292.79,293.60,41567010
2024-05-27,296.18,296.45,284.92,287.10,26147030
2024-05-28,286.57,288.76,286.10,287.50,32927473
2024-05-29,283.43,287.63,279.58,280.55,38354302
2024-05-30,280.08,280.71,279.36,280.61,33993037
2024-05-31,280.24,281.43,279.24,279.47,35682645
2024-06-03,281.08,281.32,276.17,277.72,30441135
2024-06-04,279.28,280.70,274.65,274.92,57122119
2024-06-05,273.88,275.12,272.66,273.53,21332279
