date,open,high,low,close,volume
2023-08-08,264.38,267.39,263.33,267.00,8610487
2023-08-09,268.03,268.41,265.34,267.83,6857842
2023-08-10,265.82,267.85,258.68,260.66,6104294
2023-08-11,262.28,267.35,260.19,266.50,8324269
2023-08-14,266.87,268.42,266.53,267.34,6809732
2023-08-15,267.41,268.22,259.67,262.73,9003207
2023-08-16,262.57,263.79,261.92,262.95,6476822
2023-08-17,259.41,268.91,252.12,253.00,10197964
2023-08-18,252.84,254.02,252.51,253.87,9006428
2023-08-21,254.39,254.85,253.00,254.73,8131076
2023-08-22,254.70,259.45,248.89,250.04,4010448
2023-08-23,250.27,251.37,249.62,251.13,4720244
2023-08-24,252.06,256.19,250.15,255.85,9424680
2023-08-25,255.86,256.12,255.55,256.01,7211692
2023-08-28,255.11,257.63,254.76,256.97,2871433
2023-08-29,257.46,258.24,256.66,258.13,6230986
2023-08-30,259.50,262.68,258.90,262.36,13578109
2023-08-31,262.55,262.71,260.27,260.99,10841968
2023-09-01,261.38,262.31,255.90,258.31,3167036
2023-09-04,256.45,259.19,253.49,255.13,5293483
2023-09-05,257.18,259.81,248.36,251.60,5899799
2023-09-06,251.18,252.55,250.69,251.97,10401387
2023-09-07,252.06,252.32,251.76,252.29,10441202
2023-09-08,251.62,252.87,248.03,249.28,6698713
2023-09-11,250.64,252.21,243.85,246.63,9515573
2023-09-12,246.67,246.86,246.38,246.79,6608238
2023-09-13,246.32,247.27,241.54,243.54,6778395
2023-09-14,242.92,246.00,242.10,244.71,7508364
2023-09-15,245.88,253.28,242.76,250.14,6326458
2023-09-18,248.52,253.88,247.42,252.47,4498258
2023-09-19,252.38,254.93,250.49,254.17,8886244
2023-09-20,254.30,255.32,253.72,253.97,12758185
2023-09-21,253.18,259.50,250.28,258.58,3961759
2023-09-22,259.89,260.43,259.38,259.94,4701683
2023-09-25,261.04,267.45,244.62,251.96,5190304
2023-09-26,251.78,251.84,250.25,250.85,3598964
2023-09-27,250.01,251.61,249.14,250.08,7662778
2023-09-28,250.44,250.84,245.46,245.75,3828109
2023-09-29,244.68,244.70,240.93,241.75,5367678
2023-10-02,242.03,242.31,241.32,242.18,6327334
2023-10-03,242.45,243.83,239.13,240.16,9291446
2023-10-04,239.25,244.04,238.71,242.94,5567687
2023-10-05,242.40,243.51,241.68,241.79,3621364
2023-10-06,241.41,241.65,241.01,241.28,3584482
2023-10-09,240.06,241.95,240.03,240.80,10648110
2023-10-10,240.26,240.53,240.16,240.39,10339794
2023-10-11,241.20,241.63,237.07,238.56,3444435
2023-10-12,239.74,243.91,239.42,241.51,7939578
2023-10-13,242.16,242.18,238.44,239.08,4246583
2023-10-16,240.12,240.95,236.55,236.80,6801529
2023-10-17,237.50,244.23,236.33,240.76,3697095
2023-10-18,241.19,241.51,235.33,237.78,7207400
2023-10-19,237.53,246.27,236.06,243.12,4078053
2023-10-20,240.84,245.42,239.35,245.27,3421762
2023-10-23,244.60,246.99,243.87,246.64,9898243
2023-10-24,247.98,248.40,238.85,242.43,7528194
2023-10-25,239.99,250.51,237.86,249.52,7824342
2023-10-26,247.31,254.84,242.68,253.46,4225982
2023-10-27,253.37,253.66,251.92,252.27,7396736
2023-10-30,251.44,257.52,250.39,255.40,4826545
2023-10-31,254.00,255.44,249.61,252.77,8871384
2023-11-01,253.41,257.11,253.04,256.04,9390167
2023-11-02,252.93,255.05,252.69,253.81,6950848
2023-11-03,257.93,262.35,256.42,257.73,6215323
2023-11-06,262.59,264.23,250.48,252.92,3851226
2023-11-07,252.82,253.85,244.94,248.52,5302785
2023-11-08,247.53,248.94,242.11,243.32,6944616
2023-11-09,243.75,245.57,242.03,245.11,6726695
2023-11-10,247.04,254.16,241.48,251.44,9134648
2023-11-13,252.65,253.94,249.62,252.63,12577795
2023-11-14,251.66,256.36,251.60,255.68,5827491
2023-11-15,254.11,261.40,250.51,260.60,12721392
2023-11-16,258.26,269.30,256.69,266.70,10615354
2023-11-17,267.98,269.48,263.70,264.06,6516025
2023-11-20,264.28,264.67,262.13,262.41,5304830
2023-11-21,262.53,262.73,262.53,262.56,6245528
2023-11-22,261.61,262.02,260.42,261.03,7198376
2023-11-23,261.00,263.23,259.87,262.61,7284601
2023-11-24,263.87,264.06,260.35,260.85,9694162
2023-11-27,262.08,264.32,260.89,264.31,12538156
2023-11-28,264.51,265.97,264.01,265.10,5721491
2023-11-29,263.50,266.56,253.33,257.93,10959218
2023-11-30,257.59,258.49,256.51,257.20,10566044
2023-12-01,257.09,259.26,254.20,255.81,6090931
2023-12-04,255.00,259.89,254.15,257.38,6925949
2023-12-05,257.13,258.06,255.59,256.30,11949992
2023-12-06,256.72,257.61,256.00,256.52,7988281
2023-12-07,255.14,259.20,255.10,257.76,6506027
2023-12-08,257.91,259.16,254.72,255.18,8638351
2023-12-11,254.24,257.46,253.69,255.95,4943204
2023-12-12,255.99,256.84,255.60,255.81,5069337
2023-12-13,255.24,258.20,254.37,257.64,2024326
2023-12-14,257.73,258.39,256.93,258.32,5927499
2023-12-15,259.71,261.19,256.59,257.37,18757877
2023-12-18,256.21,260.77,250.54,253.39,6695422
2023-12-19,253.67,254.56,252.60,253.78,12192497
2023-12-20,253.72,254.83,247.74,249.30,10157236
2023-12-21,250.56,252.82,249.51,251.57,9964970
2023-12-22,251.26,252.42,249.63,250.20,8676546
2023-12-25,249.44,250.26,248.64,249.24,4619598
2023-12-26,249.18,252.50,246.78,251.49,7359196
2023-12-27,251.50,252.35,248.47,249.78,10247000
2023-12-28,250.17,250.41,244.52,247.18,5715126
2023-12-29,251.58,253.14,249.89,252.57,2312740
2024-01-01,250.91,251.80,241.00,244.90,9300332
2024-01-02,246.61,249.85,241.47,241.57,9952234
2024-01-03,240.80,244.85,240.57,243.45,15419094
2024-01-04,243.53,243.57,241.58,242.61,7779237
2024-01-05,243.62,249.34,242.95,245.96,2839320
2024-01-08,247.19,249.06,244.64,244.77,26578757
2024-01-09,244.97,245.34,243.63,244.40,7488366
2024-01-10,244.07,248.48,243.08,247.91,4644575
2024-01-11,247.81,248.54,246.75,248.13,5829470
2024-01-12,245.36,258.56,242.28,254.07,6286304
2024-01-15,253.26,253.83,253.19,253.62,9309476
2024-01-16,255.13,255.30,250.50,251.03,10654060
2024-01-17,250.20,251.00,249.87,250.60,3571168
2024-01-18,249.88,250.29,248.26,248.81,6923070
2024-01-19,249.75,252.48,247.36,250.63,3159510
2024-01-22,251.54,252.50,247.40,248.88,7462559
2024-01-23,249.15,249.57,249.01,249.09,6859883
2024-01-24,248.78,248.79,248.02,248.27,7619851
2024-01-25,245.86,246.27,242.54,242.69,6571794
2024-01-26,241.07,241.68,238.08,239.53,5698407
2024-01-29,240.44,241.63,238.30,238.55,8181654
2024-01-30,239.96,240.09,239.11,239.39,6784510
2024-01-31,240.50,240.61,239.54,240.51,10127927
2024-02-01,242.34,247.74,237.96,247.59,3141171
